scc_rt_qatif,3
rt-retweet,4
scc_rt_http,4
scc_rt_damascus,6
scc_rt_dash,6
scc_rt_ksa,6
scc_rt_voteonedirection,7
ca-Erdos992,8
scc_rt_obama,8
scc_rt_occupy,8
ca-netscience,9
scc_rt_bahrain,9
scc_rt_lebanon,10
soc-karate,10
scc_rt_mittromney,11
bio-yeast,12
ia-email-univ,12
inf-power,12
scc_rt_assad,12
scc_rt_saudi,12
scc_rt_gop,13
scc_rt_tlot,13
scc_rt_barackobama,14
scc_rt_oman,16
scc_rt_alwefaq,18
scc_rt_uae,18
scc_rt_justinbieber,19
web-google,19
bio-diseasome,21
scc_retweet-crawl,21
scc_rt_israel,22
tech-routers-rf,24
ca-MathSciNet,25
ca-CondMat,26
scc_rt_p2,26
scc_rt_tcot,26
scc_rt_libya,27
scc_rt_onedirection,27
web-BerkStan,29
web-edu,30
ia-infect-dublin,32
scc_rt_occupywallstnyc,33
web-webbase-2001,33
scc_rt_gmanews,34
soc-dolphins,36
scc_rt_lolgop,43
ca-GrQc,44
web-indochina-2004,50
bio-celegans,51
ia-enron-only,56
web-polblogs,73
ca-dblp-2010,75
scc_infect-dublin,84
ca-citeseer,87
rt-twitter-copen,87
web-arabic-2005,102
ia-infect-hyper,105
scc_infect-hyper,106
ca-AstroPh,113
ca-CSphd,113
ca-dblp-2012,114
scc_enron-only,121
tech-as-caida2007,121
ia-reality,132
tech-internet-as,175
ca-HepPh,239
web-sk-2005,248
scc_retweet,255
soc-wiki-Vote,287
scc_fb-forum,316
soc-brightkite,322
tech-WHOIS,358
scc_twitter-copen,618
ia-email-EU,666
web-spam,667
scc_fb-messages,709
ia-fb-messages,753
web-it-2004,864
web-uk-2005,1000
rec-amazon,1504
soc-epinions,1600
bio-dmela,1718
ia-enron-large,2707
socfb-CMU,3209
socfb-UCSB37,3310
soc-delicious,3413
tech-RL-caida,3425
soc-gowalla,3768
soc-slashdot,3995
socfb-MIT,4246
inf-roadNet-CA,4454
tech-as-skitter,4567
soc-douban,6145
socfb-Stanford3,6369
socfb-UConn,6554
ia-wiki-Talk,7114
socfb-Duke14,7433
socfb-UCLA,8210
socfb-Harvard1,9503
socfb-Texas80,9832
sc-shipsec1,11085
socfb-UIllinois,12067
socfb-Berkeley13,12556
socfb-OR,12942
socfb-wosn-friends,12942
soc-flickr,13431
socfb-UGA50,14601
socfb-UF,14613
socfb-Wisconsin87,15031
socfb-Indiana,17386
socfb-Texas84,18075
socfb-Penn94,20353
soc-twitter-follows,20721
tech-p2p-gnutella,24222
sc-shipsec5,24250
soc-youtube-snap,29658
soc-buzznet,37481
sc-nasasrb,53675
soc-LiveMocha,54560
sc-pkustk11,74844
soc-lastfm,79932
sc-pkustk13,92533
sc-pwtk,216897
inf-roadNet-PA,873219
